4.734,-10.2578
-2.7499,6.8281
3.6938,-0.7183
4.1721,6.3349
1.4561,7.7833
2.9078,-2.0516
5.1202,5.6791
-5.9613,5.5553
4.643,6.4313
-4.557,8.3192
-5.0437,9.0177
4.0304,-9.3652
-2.96,6.4964
3.762,-2.0762
4.5484,-2.0983
2.4537,-0.3948
3.6595,7.722
3.0434,-2.8764
6.0125,-8.3682
7.7816,-7.7087
4.5511,-7.6218
5.9032,-8.0887
3.9996,-0.2539
4.9954,-8.6425
-4.2143,7.4891
2.5378,-8.2218
-3.386,8.0305
-5.7136,8.3149
5.2805,-8.912
4.8131,-7.725
1.9166,8.1708
2.6881,-0.6167
3.48,-8.9164
5.9308,-10.0095
2.9081,-8.9064
-4.6398,8.1297
3.252,-1.1524
-5.028,6.6236
4.9285,-1.4445
6.187,-1.1331
-3.684,6.9793
4.5994,5.5083
3.6817,6.6173
3.7609,6.5217
-4.825,7.5424
4.2066,-0.0372
-4.0049,7.5361
-5.574,7.8566
6.0497,-7.2977
4.5727,-7.7753
-4.1052,8.2691
0.5855,5.0555
-5.5041,9.3633
2.4519,6.3579
5.0641,-8.7592
-3.8136,6.2897
2.4737,-1.232
3.0375,6.2807
-5.4092,7.1644
4.8706,-1.2228
4.1364,-8.8847
5.9256,-3.4537
-5.2143,7.8979
3.7435,6.4955
2.8535,6.1279
-5.3554,9.3055
-2.8906,8.7276
4.02,-9.0436
2.9023,-2.2273
5.2131,-9.897
3.8502,-10.1886
1.2309,5.7905
4.9299,-8.6269
4.1827,-8.4782
3.1242,-2.267
4.5642,-0.9621
-3.9526,8.1674
4.6689,-9.9064
2.7095,6.9509
0.5665,4.954
1.4561,4.2767
-4.3175,7.0213
2.2371,7.3417
3.9921,-2.9248
2.5477,7.2232
6.4675,-10.2015
4.4984,6.5874
3.3466,5.599
3.3985,-2.7103
5.0499,-2.7463
-5.0396,9.5919
-3.6044,7.7673
2.3592,5.5421
-5.6317,9.9766
4.5191,-8.5528
5.0656,-2.377
-5.3798,8.677
-6.3235,7.1829
2.1235,-1.2684
-5.3971,6.1958
2.5407,7.4081
-5.609,6.9649
3.2001,5.4688
4.0084,-9.9571
4.2099,8.5933
-3.3837,8.0477
5.1071,-1.6327
-3.7996,6.9202
3.7532,5.5441
3.3801,4.7117
4.0445,0.1588
-4.853,7.3145
3.754,-8.7151
1.6202,6.5528
3.4592,-0.4206
3.9103,-3.1161
4.3794,-0.1415
4.9835,-9.8522
-4.1978,6.717
-5.1608,8.285
-3.1769,7.3144
3.825,-2.5156
4.1509,-8.8887
3.1962,-1.4554
-5.1102,7.4485
4.2483,-2.0169
1.3225,-3.0295
-5.5824,5.3463
4.2437,5.8481
4.6602,-2.7574
3.9371,-7.9829
-5.0096,9.0324
-4.2394,7.9964
3.4158,4.0975
3.1718,0.159
1.8746,4.5514
-3.4595,5.5104
-5.518,4.5313
1.8195,6.6402
4.3219,-8.2851
-3.2215,8.2504
2.809,5.8138
4.8309,-7.1605
3.3138,-11.6728
2.306,-3.5721
2.4976,-2.0585
-5.0044,7.0225
-4.78,8.5619
-6.3296,9.1581
-6.1079,7.0686
3.2445,-1.5966
4.407,-1.7528
3.3708,6.2406
2.7404,6.0722
3.0895,-8.3188
-3.7897,6.8475
5.5992,-9.5011
3.8884,-8.0788
5.9022,-3.0296
2.9456,-10.0429
1.7038,-1.224
-3.5961,6.7983
-5.802,4.9259
4.575,-8.014
2.5629,-8.6731
5.4523,-9.4009
3.5117,-1.6468
2.1534,5.5494
