-3.439,4.7382,1.7776
3.541,-5.2228,-5.2637
-2.7006,5.6493,1.9026
3.2158,-6.1991,-6.0033
2.86,-5.5891,-5.5229
3.643,-0.5992,5.5302
4.4318,-1.3573,7.3345
-4.736,4.6328,1.0481
-5.4861,5.5654,4.6759
-1.1296,6.343,1.0345
2.6655,1.1821,5.055
3.3957,-8.1109,-6.345
3.6405,-6.6914,-6.33
-5.2802,3.0071,3.1389
-3.4753,3.3447,4.9685
2.11,-6.805,-4.8024
4.1723,-5.7319,-6.1728
-4.2901,4.5433,1.9678
3.3176,1.4204,6.1518
3.8524,1.7186,5.4465
3.2703,-1.4277,6.6069
-5.2454,5.9081,2.7076
-4.0621,6.0847,1.2277
0.8407,-8.2928,-4.4085
2.2652,0.5851,4.5365
-1.7852,4.6389,1.7602
2.1055,-6.2493,-6.5437
4.9083,-6.7549,-6.0489
4.1877,-7.11,-6.2959
3.6737,-6.5386,-6.0013
-3.3726,4.6074,1.8807
3.6408,-5.6756,-6.4603
5.1731,0.4254,5.7648
3.9544,-5.7172,-4.5765
-4.5833,3.782,3.191
3.8001,-7.3939,-6.2861
3.363,0.1074,5.6235
2.5093,-0.2088,7.774
4.9637,0.0711,6.9873
2.8813,-6.631,-7.185
5.0769,0.6361,5.9241
2.6128,0.6401,6.5857
3.0433,1.7352,4.9818
0.4856,0.9627,4.9706
4.3885,-5.6979,-6.442
4.9285,-7.481,-6.4262
1.178,0.5925,6.8791
3.7061,1.3397,6.3216
-1.7819,5.2596,1.631
2.2184,-0.6827,5.4379
-4.6109,5.9122,1.6622
3.1974,0.6677,7.2656
1.3617,-5.7065,-5.3969
3.6655,-4.4329,-4.592
1.1212,1.7613,6.5517
-2.2575,5.0664,1.7371
2.4389,-7.01,-5.2356
2.5086,-0.355,4.8815
-4.4567,5.852,-0.241
3.6663,1.785,3.7068
2.2722,-5.6351,-6.9957
-3.8445,6.5787,2.2246
3.4145,0.9608,3.7827
-4.2943,5.0139,2.0084
-3.4675,3.6714,2.8067
3.9114,-6.7638,-2.8554
-2.9286,4.161,3.4742
2.6565,-5.0062,-5.5169
5.3638,0.1581,6.8654
2.8858,-4.8033,-6.5414
5.2762,0.2002,6.565
5.0761,-6.8858,-4.7856
2.8379,-4.8279,-5.1463
3.3204,0.7035,5.8654
3.1817,0.8571,5.6468
-2.6459,5.5349,4.1046
1.667,-7.4803,-4.6711
-2.6175,5.5945,3.0658
3.7262,-2.7077,4.3678
-3.0126,5.306,2.3701
4.8482,-7.9762,-5.5752
-2.1568,5.6708,3.0176
